classifier,params,sensitive_group,positive_prediction_probability,variance,best_result
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 2))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 2))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 2))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 2))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 3))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 3))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 3))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 3))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
ExtraTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",ENC_GENERO = 1,0.26222222222222225,0.19346172839506176,0
ExtraTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",ENC_GENERO = 0,0.18181818181818182,0.14876033057851237,0
ExtraTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",ENC_GENERO = 1,0.26222222222222225,0.19346172839506176,0
ExtraTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",ENC_GENERO = 0,0.18181818181818182,0.14876033057851237,0
ExtraTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",ENC_GENERO = 1,0.26222222222222225,0.19346172839506176,0
ExtraTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",ENC_GENERO = 0,0.18181818181818182,0.14876033057851237,0
ExtraTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",ENC_GENERO = 1,0.26222222222222225,0.19346172839506176,0
ExtraTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",ENC_GENERO = 0,0.18181818181818182,0.14876033057851237,0
ExtraTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 2))",ENC_GENERO = 1,0.26222222222222225,0.19346172839506176,0
