sample_index,classifier,POS_CON_ENC,BEN_TRV_ENC,BEN_FA_ENC,BEN_FPT_ENC,BEN_PDT_ENC,POS_SPU_ENC,REG_SAL_ENC,SEXO_ENC,NIV_EDU_ENC,POS_SSO_ENC,GRUPO_ETAR_ENC_Entre 18 y 25 años,GRUPO_ETAR_ENC_Entre 26 y 40 años,GRUPO_ETAR_ENC_Entre 41 y 60 años,GRUPO_ETAR_ENC_Mayor de 60 años,EX_GRUPO_ENC_AUC,EX_GRUPO_ENC_ELN,EX_GRUPO_ENC_EPL,EX_GRUPO_ENC_ERG,EX_GRUPO_ENC_ERP,EX_GRUPO_ENC_FARC,TIP_VIV_ENC_Apartamento,TIP_VIV_ENC_Casa,TIP_VIV_ENC_Casa_Lote,TIP_VIV_ENC_Finca,TIP_VIV_ENC_Habitacion,TIP_VIV_ENC_Otro,TIP_VIV_ENC_Rancho,TIP_VIV_ENC_Vivienda indigena,REG_VIV_ENC_Familiar,REG_VIV_ENC_No_Registra,REG_VIV_ENC_Otra_forma,REG_VIV_ENC_Sana_posesión_título,REG_VIV_ENC_arriendo_subarriendo,REG_VIV_ENC_usufructo,OCU_ECO_ENC_Desocupados,OCU_ECO_ENC_Ocupados_Informal,DEP_RES_ENC,MUN_RES_ENC,NUM_HIJOS_NOR,AÑO_ING_NOR,POS_CON_ENC_CON,BEN_TRV_ENC_CON,BEN_FA_ENC_CON,BEN_FPT_ENC_CON,BEN_PDT_ENC_CON,POS_SPU_ENC_CON,REG_SAL_ENC_CON,SEXO_ENC_CON,NIV_EDU_ENC_CON,POS_SSO_ENC_CON,GRUPO_ETAR_ENC_Entre 18 y 25 años_CON,GRUPO_ETAR_ENC_Entre 26 y 40 años_CON,GRUPO_ETAR_ENC_Entre 41 y 60 años_CON,GRUPO_ETAR_ENC_Mayor de 60 años_CON,EX_GRUPO_ENC_AUC_CON,EX_GRUPO_ENC_ELN_CON,EX_GRUPO_ENC_EPL_CON,EX_GRUPO_ENC_ERG_CON,EX_GRUPO_ENC_ERP_CON,EX_GRUPO_ENC_FARC_CON,TIP_VIV_ENC_Apartamento_CON,TIP_VIV_ENC_Casa_CON,TIP_VIV_ENC_Casa_Lote_CON,TIP_VIV_ENC_Finca_CON,TIP_VIV_ENC_Habitacion_CON,TIP_VIV_ENC_Otro_CON,TIP_VIV_ENC_Rancho_CON,TIP_VIV_ENC_Vivienda indigena_CON,REG_VIV_ENC_Familiar_CON,REG_VIV_ENC_No_Registra_CON,REG_VIV_ENC_Otra_forma_CON,REG_VIV_ENC_Sana_posesión_título_CON,REG_VIV_ENC_arriendo_subarriendo_CON,REG_VIV_ENC_usufructo_CON,OCU_ECO_ENC_Desocupados_CON,OCU_ECO_ENC_Ocupados_Informal_CON,DEP_RES_ENC_CON,MUN_RES_ENC_CON,NUM_HIJOS_NOR_CON,AÑO_ING_NOR_CON,distance
919,GradientBoostingClassifier_BASE_LINE_VALUES,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0472201422688131,0.0014507675028079,0.0,2006.0,0,1,1,0.0,1,0,0,0,3.0,3.0,1,1,0,0,0,1,0.0,0.0,0,0,1,0,1,1,1,0,1,0,0,0.0,0,0.0,1,1,1,1,0.0861100711344066,0.0818513665293897,6.0,2003.0,28.148670633916975
919,GradientBoostingClassifier_BASE_LINE_VALUES,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0472201422688131,0.0014507675028079,0.0,2006.0,0,1,1,0.0,0,0,1,1,2.0,1.0,1,1,0,1,1,1,0.0,0.0,0,0,1,1,0,1,1,1,0,0,0,0.0,0,0.0,0,1,1,1,0.2119992512167727,0.0244290527892175,1.0,2008.0,22.766633327138905
919,GradientBoostingClassifier_BASE_LINE_VALUES,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0472201422688131,0.0014507675028079,0.0,2006.0,1,1,1,0.0,0,0,0,0,2.0,3.0,0,1,1,1,1,1,0.0,0.0,0,1,1,0,1,1,1,0,0,1,1,0.0,1,0.0,0,1,1,0,0.2119992512167727,0.037298764507675,0.0,2016.0,30.752202763512614
919,GradientBoostingClassifier_BASE_LINE_VALUES,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0472201422688131,0.0014507675028079,0.0,2006.0,1,0,1,0.0,0,0,1,1,2.0,1.0,0,1,0,0,1,0,0.0,0.0,0,0,1,1,1,1,0,1,1,0,1,0.0,1,0.0,0,1,1,0,0.2119992512167727,0.0818513665293897,5.0,2009.0,27.34227988858894
919,GradientBoostingClassifier_BASE_LINE_VALUES,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0472201422688131,0.0014507675028079,0.0,2006.0,1,1,0,0.0,1,1,0,1,3.0,1.0,1,0,1,0,0,0,0.0,0.0,1,0,1,0,0,1,0,0,1,0,0,0.0,1,0.0,0,0,1,1,0.2119992512167727,0.0180175964058405,3.0,2015.0,26.99209777936977
919,GradientBoostingClassifier_BASE_LINE_VALUES,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0472201422688131,0.0014507675028079,0.0,2006.0,1,1,0,0.0,0,0,0,0,1.0,3.0,1,1,0,0,1,1,0.0,0.0,1,0,1,0,0,1,1,0,1,0,1,0.0,1,0.0,0,1,1,0,0.2119992512167727,0.0818513665293897,6.0,2015.0,34.663614032052564
2986,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0235866716585548,0.0133377012354923,0.0,2005.0,1,1,1,0.0,0,1,0,0,3.0,1.0,1,0,1,1,1,0,0.0,0.0,0,0,0,0,1,0,0,0,1,1,1,0.0,1,0.0,1,0,1,0,0.2119992512167727,0.0818513665293897,6.0,2014.0,33.33791462620914
2986,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0235866716585548,0.0133377012354923,0.0,2005.0,0,1,1,0.0,1,1,0,0,2.0,3.0,1,1,0,0,1,1,0.0,0.0,1,1,1,1,1,0,1,0,0,0,0,0.0,1,0.0,0,1,0,1,0.0176432047922126,0.037298764507675,2.0,2012.0,26.598502025019343
2986,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0235866716585548,0.0133377012354923,0.0,2005.0,1,1,1,0.0,1,1,0,1,2.0,1.0,1,0,1,1,0,0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0.0,1,0.0,0,0,0,0,0.2119992512167727,0.0818513665293897,4.0,2018.0,35.44666238735615
1387,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0736147510295769,0.037298764507675,0.0,2013.0,1,1,1,0.0,0,0,0,0,3.0,1.0,1,0,1,1,1,0,0.0,0.0,1,1,1,0,1,1,0,1,0,1,1,0.0,1,0.0,0,1,1,0,0.0861100711344066,0.0818513665293897,6.0,2016.0,29.420862807512144
