classifier,params,sensitive_group,positive_prediction_probability,variance,best_result
LinearDiscriminantAnalysis,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
LinearDiscriminantAnalysis,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",SEXO_ENC = 0,1.0,0.0,0
LinearDiscriminantAnalysis,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
LinearDiscriminantAnalysis,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",SEXO_ENC = 0,1.0,0.0,0
LinearDiscriminantAnalysis,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
LinearDiscriminantAnalysis,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",SEXO_ENC = 0,1.0,0.0,0
LinearDiscriminantAnalysis,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
LinearDiscriminantAnalysis,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",SEXO_ENC = 0,1.0,0.0,0
AdaBoostClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",SEXO_ENC = 1,0.94,0.056400000000000006,0
AdaBoostClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",SEXO_ENC = 0,0.974025974025974,0.025299375948726603,0
AdaBoostClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",SEXO_ENC = 1,0.94,0.056400000000000006,0
AdaBoostClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",SEXO_ENC = 0,0.974025974025974,0.025299375948726603,0
AdaBoostClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",SEXO_ENC = 1,0.94,0.056400000000000006,0
AdaBoostClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",SEXO_ENC = 0,0.974025974025974,0.025299375948726603,0
AdaBoostClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",SEXO_ENC = 1,0.94,0.056400000000000006,0
AdaBoostClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",SEXO_ENC = 0,0.974025974025974,0.025299375948726603,0
